application_number,sponsor_name,brand_name,product_number,reference_drug,active_ingredients,referenced_standard,dosage_form,route,marketing_status
NDA017381,KING PHARMS LLC,SILVADENE,001,Yes,,Yes,CREAM,TOPICAL,Prescription
ANDA076200,OHM LABS,ACETAMINOPHEN,001,No,,No,"TABLET, EXTENDED RELEASE",ORAL,Over-the-counter
ANDA076206,ROCKWELL MEDCL,CALCITRIOL,001,No,,No,INJECTABLE,INJECTION,Discontinued
NDA017385,BAXTER HLTHCARE,PLASMA-LYTE 56 AND DEXTROSE 5% IN PLASTIC CONTAINER,001,No,,No,INJECTABLE,INJECTION,Discontinued
ANDA076215,FOUGERA PHARMS,BETAMETHASONE DIPROPIONATE,001,No,,No,"CREAM, AUGMENTED",TOPICAL,Prescription
ANDA076222,HIKMA,GANCICLOVIR SODIUM,001,No,,No,INJECTABLE,INJECTION,Prescription
ANDA076229,TARO PHARM INDS,AMCINONIDE,001,No,,No,CREAM,TOPICAL,Prescription
ANDA076233,HOSPIRA,PACLITAXEL,001,No,,No,INJECTABLE,INJECTION,Discontinued
ANDA076244,IVAX SUB TEVA PHARMS,MIRTAZAPINE,002,No,,No,TABLET,ORAL,Discontinued
ANDA076244,IVAX SUB TEVA PHARMS,MIRTAZAPINE,003,No,,No,TABLET,ORAL,Discontinued
ANDA076244,IVAX SUB TEVA PHARMS,MIRTAZAPINE,001,No,,No,TABLET,ORAL,Discontinued
ANDA076246,HIKMA,FLUCONAZOLE,001,No,,No,FOR SUSPENSION,ORAL,Discontinued
ANDA076246,HIKMA,FLUCONAZOLE,002,No,,No,FOR SUSPENSION,ORAL,Discontinued
ANDA076286,DR REDDYS LABS INC,TIZANIDINE HYDROCHLORIDE,001,No,,No,TABLET,ORAL,Prescription
ANDA076286,DR REDDYS LABS INC,TIZANIDINE HYDROCHLORIDE,002,No,,No,TABLET,ORAL,Prescription
ANDA076304,HOSPIRA,FLUCONAZOLE IN DEXTROSE 5% IN PLASTIC CONTAINER,001,No,,No,INJECTABLE,INJECTION,Discontinued
ANDA076304,HOSPIRA,FLUCONAZOLE IN DEXTROSE 5% IN PLASTIC CONTAINER,002,No,,No,INJECTABLE,INJECTION,Discontinued
ANDA076308,ACTAVIS ELIZABETH,MIRTAZAPINE,003,No,,No,TABLET,ORAL,Discontinued
ANDA076308,ACTAVIS ELIZABETH,MIRTAZAPINE,001,No,,No,TABLET,ORAL,Discontinued
ANDA076308,ACTAVIS ELIZABETH,MIRTAZAPINE,002,No,,No,TABLET,ORAL,Discontinued
ANDA076309,DR REDDYS LABS INC,NEFAZODONE HYDROCHLORIDE,002,No,,No,TABLET,ORAL,Discontinued
ANDA076309,DR REDDYS LABS INC,NEFAZODONE HYDROCHLORIDE,005,No,,No,TABLET,ORAL,Discontinued
ANDA076309,DR REDDYS LABS INC,NEFAZODONE HYDROCHLORIDE,003,No,,No,TABLET,ORAL,Discontinued
ANDA076309,DR REDDYS LABS INC,NEFAZODONE HYDROCHLORIDE,001,No,,No,TABLET,ORAL,Discontinued
ANDA076309,DR REDDYS LABS INC,NEFAZODONE HYDROCHLORIDE,004,No,,No,TABLET,ORAL,Discontinued
ANDA076311,ACCORD HLTHCARE,TOPIRAMATE,003,No,,No,TABLET,ORAL,Prescription
ANDA076311,ACCORD HLTHCARE,TOPIRAMATE,001,No,,No,TABLET,ORAL,Prescription
ANDA076311,ACCORD HLTHCARE,TOPIRAMATE,004,No,,No,TABLET,ORAL,Prescription
ANDA076311,ACCORD HLTHCARE,TOPIRAMATE,002,No,,No,TABLET,ORAL,Prescription
ANDA076315,BARR,TOPIRAMATE,003,No,,No,TABLET,ORAL,Discontinued
ANDA076315,BARR,TOPIRAMATE,001,No,,No,TABLET,ORAL,Discontinued
ANDA076315,BARR,TOPIRAMATE,002,No,,No,TABLET,ORAL,Discontinued
ANDA076334,PH HEALTH,PREVIFEM,001,No,,No,TABLET,ORAL-28,Discontinued
ANDA076340,IVAX SUB TEVA PHARMS,FINASTERIDE,001,No,,No,TABLET,ORAL,Discontinued
ANDA076347,EPIC PHARMA LLC,TIZANIDINE HYDROCHLORIDE,002,No,,No,TABLET,ORAL,Prescription
ANDA076347,EPIC PHARMA LLC,TIZANIDINE HYDROCHLORIDE,001,No,,No,TABLET,ORAL,Prescription
NDA017412,HUNTINGTON LABS,GERMA-MEDICA,001,No,,No,SOLUTION,TOPICAL,Discontinued
NDA017412,HUNTINGTON LABS,"GERMA-MEDICA ""MG""",002,No,,No,SOLUTION,TOPICAL,Discontinued
ANDA076357,PERRIGO,MICONAZOLE 3 COMBINATION PACK,001,No,,No,CREAM,"TOPICAL, VAGINAL",Over-the-counter
ANDA076361,TEVA,LEVOFLOXACIN,002,No,,No,TABLET,ORAL,Prescription
ANDA076361,TEVA,LEVOFLOXACIN,003,No,,No,TABLET,ORAL,Prescription
ANDA076361,TEVA,LEVOFLOXACIN,001,No,,No,TABLET,ORAL,Prescription
ANDA076363,SUN PHARM INDS INC,DIGOXIN,001,No,,No,TABLET,ORAL,Prescription
ANDA076363,SUN PHARM INDS INC,DIGOXIN,002,No,,No,TABLET,ORAL,Prescription
ANDA076367,TARO PHARM INDS,AMCINONIDE,001,No,,No,OINTMENT,TOPICAL,Discontinued
ANDA076383,APOTEX INC,NIZATIDINE,002,No,,No,CAPSULE,ORAL,Discontinued
ANDA076383,APOTEX INC,NIZATIDINE,001,No,,No,CAPSULE,ORAL,Discontinued
ANDA076420,TEVA,LAMOTRIGINE,002,No,,No,"TABLET, FOR SUSPENSION",ORAL,Discontinued
ANDA076420,TEVA,LAMOTRIGINE,001,No,,No,"TABLET, FOR SUSPENSION",ORAL,Discontinued
ANDA076422,FOUGERA PHARMS,CICLOPIROX,001,No,,No,SUSPENSION,TOPICAL,Prescription
ANDA076435,FOUGERA PHARMS,CICLOPIROX,001,No,,No,CREAM,TOPICAL,Prescription
ANDA076440,ANI PHARMS,RISPERIDONE,001,No,,No,SOLUTION,ORAL,Prescription
ANDA076445,RANBAXY LABS LTD,PRAVASTATIN SODIUM,003,No,,No,TABLET,ORAL,Discontinued
ANDA076445,RANBAXY LABS LTD,PRAVASTATIN SODIUM,001,No,,No,TABLET,ORAL,Discontinued
ANDA076445,RANBAXY LABS LTD,PRAVASTATIN SODIUM,004,No,,No,TABLET,ORAL,Discontinued
ANDA076445,RANBAXY LABS LTD,PRAVASTATIN SODIUM,002,No,,No,TABLET,ORAL,Discontinued
ANDA076446,IMPAX PHARMS,OXYCODONE HYDROCHLORIDE,002,No,,,"TABLET, EXTENDED RELEASE",ORAL,None (Tentative Approval)
ANDA076446,IMPAX PHARMS,OXYCODONE HYDROCHLORIDE,003,No,,,"TABLET, EXTENDED RELEASE",ORAL,None (Tentative Approval)
ANDA076446,IMPAX PHARMS,OXYCODONE HYDROCHLORIDE,001,No,,,"TABLET, EXTENDED RELEASE",ORAL,None (Tentative Approval)
ANDA076460,AVEMA PHARMA,IBUPROFEN,001,No,,No,TABLET,ORAL,Over-the-counter
ANDA076478,PERRIGO,IBUPROFEN AND PSEUDOEPHEDRINE HYDROCHLORIDE,001,No,,No,SUSPENSION,ORAL,Discontinued
ANDA076486,MPP PHARMA,ENALAPRIL MALEATE AND HYDROCHLOROTHIAZIDE,001,No,,No,TABLET,ORAL,Discontinued
ANDA076486,MPP PHARMA,ENALAPRIL MALEATE AND HYDROCHLOROTHIAZIDE,002,No,,No,TABLET,ORAL,Discontinued
ANDA076500,HIKMA,ADENOSINE,001,No,,No,INJECTABLE,INJECTION,Prescription
NDA017438,BAXTER HLTHCARE,PLASMA-LYTE R IN PLASTIC CONTAINER,001,No,,No,INJECTABLE,INJECTION,Discontinued
ANDA076545,IVAX SUB TEVA PHARMS,METFORMIN HYDROCHLORIDE,001,No,,No,"TABLET, EXTENDED RELEASE",ORAL,Discontinued
ANDA076550,ANI PHARMS,PROPAFENONE HYDROCHLORIDE,003,No,,No,TABLET,ORAL,Prescription
ANDA076550,ANI PHARMS,PROPAFENONE HYDROCHLORIDE,001,No,,No,TABLET,ORAL,Prescription
ANDA076550,ANI PHARMS,PROPAFENONE HYDROCHLORIDE,002,No,,No,TABLET,ORAL,Prescription
ANDA076601,TARO,CETIRIZINE HYDROCHLORIDE,001,No,,No,SOLUTION,ORAL,Prescription
ANDA076603,CHARTWELL MOLECULAR,BETAMETHASONE DIPROPIONATE,001,No,,No,"CREAM, AUGMENTED",TOPICAL,Discontinued
ANDA076611,HIKMA,MITOXANTRONE HYDROCHLORIDE,002,No,,No,INJECTABLE,INJECTION,Prescription
ANDA076611,HIKMA,MITOXANTRONE HYDROCHLORIDE,003,No,,No,INJECTABLE,INJECTION,Prescription
ANDA076611,HIKMA,MITOXANTRONE HYDROCHLORIDE,001,No,,No,INJECTABLE,INJECTION,Prescription
ANDA076615,EPIC PHARMA LLC,OFLOXACIN,001,No,,No,SOLUTION/DROPS,OPHTHALMIC,Discontinued
ANDA076618,CHARTWELL RX,PAROXETINE HYDROCHLORIDE,003,No,,No,TABLET,ORAL,Prescription
ANDA076618,CHARTWELL RX,PAROXETINE HYDROCHLORIDE,001,No,,No,TABLET,ORAL,Prescription
ANDA076618,CHARTWELL RX,PAROXETINE HYDROCHLORIDE,004,No,,No,TABLET,ORAL,Prescription
ANDA076618,CHARTWELL RX,PAROXETINE HYDROCHLORIDE,002,No,,No,TABLET,ORAL,Prescription
