canonical_name,aliases,default_strength
Paracetamol 650,PCM650|PCM 650|Paracetmol 650|Acetaminophen 650,650 mg
Amoxicillin 500,Amox 500|Amoxicilin 500|Amoxy 500,500 mg
Azithromycin 500,Azithro 500|AZ 500|Azithral 500,500 mg
Pantoprazole 40,Panto 40|Pantocid 40|Pantop 40,40 mg
Cetirizine 10,Cetrizine 10|Cet 10|Cetzine 10,10 mg
Metformin 500,Met 500|Metform 500|Glycomet 500,500 mg
Amlodipine 5,Amlong 5|Amlodipin 5|Amlopres 5,5 mg
Atorvastatin 10,Atorva 10|Atorvastin 10|Lipitor 10,10 mg
Betaloc 100,Betaloc 100mg|Metoprolol 100|Metoprolol Tartrate 100,100 mg
Dorzolamide 10,Dorzolamidum 10|Dorzolamide 10 mg|Dorzolamidum 10 mg,10 mg
Cimetidine 50,Cimetidine 50 mg|Cimetidin 50|Cimetidine,50 mg
Oxprenolol 50,Oxprelol 50|Oxprenolol 50 mg|Oxprelol 50mg,50 mg
